Symbol,NSE Symbol,Company Name,ISIN,SERIES
AXITA.NS,AXITA,Axita Cotton Limited,INE02EZ01022,EQ
AYE.NS,AYE,Aye Finance Limited,INE501X01029,EQ
AYMSYNTEX.NS,AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ
AZAD.NS,AZAD,Azad Engineering Limited,INE02IJ01035,EQ
BAGFILMS.NS,BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ
BAIDFIN.NS,BAIDFIN,Baid Finserv Limited,INE020D01022,EQ
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ
BAJAJCON.NS,BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ
BAJAJELEC.NS,BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ
BAJAJHCARE.NS,BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ
BAJAJHFL.NS,BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ
BAJAJHIND.NS,BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ
BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ
BAJAJINDEF.NS,BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ
BAJAJST.NS,BAJAJST,Bajaj Steel Industries Limited,INE704G01024,EQ
BAJEL.NS,BAJEL,Bajel Projects Limited,INE0KQN01018,EQ
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ
BALAJEE.NS,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ
BALAJITELE.NS,BALAJITELE,Balaji Telefilms Limited,INE794B01026,EQ
BALAMINES.NS,BALAMINES,Balaji Amines Limited,INE050E01027,EQ
BALKRISHNA.NS,BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ
BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ
BALMLAWRIE.NS,BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ
BALPHARMA.NS,BALPHARMA,Bal Pharma Limited,INE083D01012,EQ
BALRAMCHIN.NS,BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ
BALUFORGE.NS,BALUFORGE,Balu Forge Industries Limited,INE011E01029,EQ
BANARBEADS.NS,BANARBEADS,Banaras Beads Limited,INE655B01011,EQ
BANARISUG.NS,BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ
BANCOINDIA.NS,BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ
BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ
BANG.NS,BANG,Bang Overseas Limited,INE863I01016,EQ
BANKBARODA.NS,BANKBARODA,Bank of Baroda,INE028A01039,EQ
BANKINDIA.NS,BANKINDIA,Bank of India,INE084A01016,EQ
BANSALWIRE.NS,BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ
BANSWRAS.NS,BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ
BASF.NS,BASF,BASF India Limited,INE373A01013,EQ
BATAINDIA.NS,BATAINDIA,Bata India Limited,INE176A01028,EQ
BATLIBOI.NS,BATLIBOI,Batliboi Limited,INE177C01022,EQ
BAYERCROP.NS,BAYERCROP,Bayer Cropscience Limited,INE462A01022,EQ
BBL.NS,BBL,Bharat Bijlee Limited,INE464A01036,EQ
BBOX.NS,BBOX,Black Box Limited,INE676A01027,EQ
BBTC.NS,BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025,EQ
BBTCL.NS,BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ
BCG.NS,BCG,Brightcom Group Limited,INE425B01027,EQ
BCLIND.NS,BCLIND,Bcl Industries Limited,INE412G01024,EQ
BCONCEPTS.NS,BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ
BCPL.NS,BCPL,BCPL Railway Infrastructure Limited,INE00SW01015,EQ
BDL.NS,BDL,Bharat Dynamics Limited,INE171Z01026,EQ
BEARDSELL.NS,BEARDSELL,Beardsell Limited,INE520H01022,EQ
BECTORFOOD.NS,BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,EQ
BEDMUTHA.NS,BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ
BEEKAY.NS,BEEKAY,Beekay Steel Industries Limited,INE213D01015,EQ
BEL.NS,BEL,Bharat Electronics Limited,INE263A01024,EQ
BELLACASA.NS,BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ
BELRISE.NS,BELRISE,Belrise Industries Limited,INE894V01022,EQ
BEML.NS,BEML,BEML Limited,INE258A01024,EQ
BENGALASM.NS,BENGALASM,Bengal & Assam Company Limited,INE083K01017,EQ
BEPL.NS,BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ
BERGEPAINT.NS,BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ
BESTAGRO.NS,BESTAGRO,Best Agrolife Limited,INE052T01021,EQ
BETA.NS,BETA,Beta Drugs Limited,INE351Y01019,EQ
BFINVEST.NS,BFINVEST,BF Investment Limited,INE878K01010,EQ
BFUTILITIE.NS,BFUTILITIE,BF Utilities Limited,INE243D01012,EQ
BHAGCHEM.NS,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ
BHARATCOAL.NS,BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022,EQ
BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,INE465A01025,EQ
BHARATRAS.NS,BHARATRAS,Bharat Rasayan Limited,INE838B01021,EQ
BHARATSE.NS,BHARATSE,Bharat Seats Limited,INE415D01024,EQ
BHARATWIRE.NS,BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ
BHARTIHEXA.NS,BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ
BHEL.NS,BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ
BI.NS,BI,Bilcare Limited,INE986A01012,EQ
BIGBLOC.NS,BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ
BIKAJI.NS,BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ
BIL.NS,BIL,Bhartiya International Limited,INE828A01016,EQ
BIMETAL.NS,BIMETAL,Bimetal Bearings Limited,INE469A01019,EQ
BIOCON.NS,BIOCON,Biocon Limited,INE376G01013,EQ
BIOFILCHEM.NS,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,EQ
BIRLACORPN.NS,BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ
BIRLAMONEY.NS,BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ
BIRLANU.NS,BIRLANU,BirlaNu Limited,INE557A01011,EQ
BIRLAPREC.NS,BIRLAPREC,Birla Precision Technologies Limited,INE372E01025,EQ
BLACKBUCK.NS,BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,EQ
BLAL.NS,BLAL,BEML Land Assets Limited,INE0N7W01012,EQ
