Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
HAVELLS.NS,HAVELLS,Havells India Limited,INE176B01034,EQ,745104015360.0,150
PHOENIXLTD.NS,PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,EQ,742426279936.0,151
YESBANK.NS,YESBANK,Yes Bank Limited,INE528G01035,EQ,741054808064.0,152
NMDC.NS,NMDC,NMDC Limited,INE584A01023,EQ,731655045120.0,153
PRESTIGE.NS,PRESTIGE,Prestige Estates Projects Limited,INE811K01011,EQ,729226280960.0,154
POLICYBZR.NS,POLICYBZR,PB Fintech Limited,INE417T01026,EQ,727254106112.0,155
SWIGGY.NS,SWIGGY,Swiggy Limited,INE00H001014,EQ,721538318336.0,156
ICICIPRULI.NS,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,EQ,720744415232.0,157
BAJAJHFL.NS,BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ,719096643584.0,158
FORTIS.NS,FORTIS,Fortis Healthcare Limited,INE061F01013,EQ,719059877888.0,159
SUZLON.NS,SUZLON,Suzlon Energy Limited,INE040H01021,EQ,714548379648.0,160
ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,INE914M01019,EQ,713715417088.0,161
BIOCON.NS,BIOCON,Biocon Limited,INE376G01013,EQ,711890042880.0,162
OIL.NS,OIL,Oil India Limited,INE274J01014,EQ,708143677440.0,163
TORNTPOWER.NS,TORNTPOWER,Torrent Power Limited,INE813H01021,EQ,700677881856.0,164
MCX.NS,MCX,Multi Commodity Exchange of India Limited,INE745G01043,EQ,699277508608.0,165
IDFCFIRSTB.NS,IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,EQ,692368179200.0,166
OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty Limited,INE093I01010,EQ,688953556992.0,167
SAIL.NS,SAIL,Steel Authority of India Limited,INE114A01011,EQ,673440792576.0,168
COFORGE.NS,COFORGE,Coforge Limited,INE591G01025,EQ,667754823680.0,169
UNOMINDA.NS,UNOMINDA,UNO Minda Limited,INE405E01023,EQ,666859143168.0,170
ALKEM.NS,ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,665140068352.0,171
IOB.NS,IOB,Indian Overseas Bank,INE565A01014,EQ,651835539456.0,172
BANKINDIA.NS,BANKINDIA,Bank of India,INE084A01016,EQ,651805392896.0,173
SCHAEFFLER.NS,SCHAEFFLER,Schaeffler India Limited,INE513A01022,EQ,648050638848.0,174
GICRE.NS,GICRE,General Insurance Corporation of India,INE481Y01014,EQ,635092795392.0,175
GODREJPROP.NS,GODREJPROP,Godrej Properties Limited,INE484J01027,EQ,633207128064.0,176
GLENMARK.NS,GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,EQ,630859890688.0,177
NATIONALUM.NS,NATIONALUM,National Aluminium Company Limited,INE139A01034,EQ,624271163392.0,178
SBICARD.NS,SBICARD,SBI Cards and Payment Services Limited,INE018E01016,EQ,623022047232.0,179
MAHABANK.NS,MAHABANK,Bank of Maharashtra,INE457A01014,EQ,614555254784.0,180
JSL.NS,JSL,Jindal Stainless Limited,INE220G01021,EQ,607662964736.0,181
HDBFS.NS,HDBFS,HDB Financial Services Limited,INE756I01012,EQ,606842978304.0,182
LINDEINDIA.NS,LINDEINDIA,Linde India Limited,INE473A01011,EQ,606754635776.0,183
COROMANDEL.NS,COROMANDEL,Coromandel International Limited,INE169A01031,EQ,599094525952.0,184
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,596149141504.0,185
KALYANKJIL.NS,KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,EQ,593205985280.0,186
MOTILALOFS.NS,MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027,EQ,582336053248.0,187
BERGEPAINT.NS,BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ,575655575552.0,188
RBLBANK.NS,RBLBANK,RBL Bank Limited,INE976G01028,EQ,570024263680.0,189
TIINDIA.NS,TIINDIA,Tube Investments of India Limited,INE974X01010,EQ,559141486592.0,190
APARINDS.NS,APARINDS,Apar Industries Limited,INE372A01015,EQ,555850727424.0,191
COLPAL.NS,COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ,555503452160.0,192
MRF.NS,MRF,MRF Limited,INE883A01011,EQ,554296213504.0,193
RADICO.NS,RADICO,Radico Khaitan Limited,INE944F01028,EQ,549046452224.0,194
FACT.NS,FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,EQ,539399192576.0,195
MFSL.NS,MFSL,Max Financial Services Limited,INE180A01020,EQ,528220913664.0,196
THERMAX.NS,THERMAX,Thermax Limited,INE152A01029,EQ,525168115712.0,197
UPL.NS,UPL,UPL Limited,INE628A01036,EQ,520514797568.0,198
TATACOMM.NS,TATACOMM,Tata Communications Limited,INE151A01013,EQ,517903908864.0,199
VMM.NS,VMM,Vishal Mega Mart Limited,INE01EA01019,EQ,516819746816.0,200
APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ,498507907072.0,201
ATHERENERG.NS,ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ,491480088576.0,202
PREMIERENE.NS,PREMIERENE,Premier Energies Limited,INE0BS701011,EQ,490198237184.0,203
SUNDARMFIN.NS,SUNDARMFIN,Sundaram Finance Limited,INE660A01013,EQ,488351989760.0,204
AIIL.NS,AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,484907745280.0,205
PIRAMALFIN.NS,PIRAMALFIN,Piramal Finance Limited,INE202B01038,EQ,484622368768.0,206
IPCALAB.NS,IPCALAB,IPCA Laboratories Limited,INE571A01038,EQ,482190229504.0,207
AEGISLOG.NS,AEGISLOG,Aegis Logistics Limited,INE208C01025,EQ,473534103552.0,208
HINDCOPPER.NS,HINDCOPPER,Hindustan Copper Limited,INE531E01026,EQ,470118727680.0,209
RVNL.NS,RVNL,Rail Vikas Nigam Limited,INE415G01027,EQ,470046965760.0,210
KEI.NS,KEI,KEI Industries Limited,INE878B01027,EQ,469064318976.0,211
BDL.NS,BDL,Bharat Dynamics Limited,INE171Z01026,EQ,459962646528.0,212
MPHASIS.NS,MPHASIS,MphasiS Limited,INE356A01018,EQ,456854175744.0,213
FLUOROCHEM.NS,FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,EQ,455317258240.0,214
360ONE.NS,360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,452925095936.0,215
M&MFIN.NS,M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D01024,EQ,450490564608.0,216
GODREJIND.NS,GODREJIND,Godrej Industries Limited,INE233A01035,EQ,449595080704.0,217
PAGEIND.NS,PAGEIND,Page Industries Limited,INE761H01022,EQ,445039575040.0,218
VOLTAS.NS,VOLTAS,Voltas Limited,INE226A01021,EQ,444179677184.0,219
SONACOMS.NS,SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,EQ,438908059648.0,220
ANTHEM.NS,ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ,436451672064.0,221
SUPREMEIND.NS,SUPREMEIND,Supreme Industries Limited,INE195A01028,EQ,436360740864.0,222
AIAENG.NS,AIAENG,AIA Engineering Limited,INE212H01026,EQ,433706401792.0,223
