symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
CORONA.NS,1285808,consolidated,2026-03-31,56.2532,55.7,56.2532,55.7,56.2532,55.7,17.0,,,33.0,,,29.649264812149333,,,0.2208835341365461,29.5,21.0,https://www.screener.in/company/CORONA/consolidated/,2026-08-23T18:06:55.829859+00:00
COSMOFIRST.NS,721,consolidated,2026-03-31,17.6753,14.95,13.5084,12.1,10.3224,8.1,6.0,-7.0,5.0,-13.0,2.0,14.0,-13.85546102158961,-7.295119091443258,6.070482510348718,1.0396039603960396,10.4,11.0,https://www.screener.in/company/COSMOFIRST/consolidated/,2026-08-23T18:06:55.829859+00:00
CPEDU.NS,1285649,consolidated,2026-03-31,5.4381,2.5,5.4381,2.5,5.4381,2.5,,,,,,,,,,0.0133333333333333,34.6,51.0,https://www.screener.in/company/CPEDU/consolidated/,2026-08-23T18:06:55.829859+00:00
CPPLUS.NS,1285570,consolidated,2026-03-31,99.2699,96.1,99.2699,96.1,99.2699,96.1,23.0,66.0,,48.0,,,-61.04177353892457,-23.25187147272708,,0.136387852956846,25.4,15.0,https://www.screener.in/company/CPPLUS/consolidated/,2026-08-23T18:06:55.829859+00:00
CRAFTSMAN.NS,1274849,consolidated,2026-03-31,49.042,48.3,42.2728,37.7,43.0855,38.6,36.0,32.0,,16.0,41.0,,11.041706810787932,28.42249364870364,,1.109987745098039,12.5,16.0,https://www.screener.in/company/CRAFTSMAN/consolidated/,2026-08-23T18:06:55.829859+00:00
CREDITACC.NS,1274399,consolidated,2026-03-31,40.3376,20.9,42.8923,24.3,42.4719,28.5,20.0,42.0,,-2.0,19.0,,-2.808081726837852,41.32510737856381,,,10.5,,https://www.screener.in/company/CREDITACC/consolidated/,2026-08-23T18:06:55.829859+00:00
CREST.NS,2966,consolidated,2026-03-31,17.3804,17.25,17.2096,16.6,13.8275,11.0,-37.0,73.0,2.0,-51.0,23.0,20.0,-50.910047641693936,73.39960601094646,1.4522064163885684,,3.75,,https://www.screener.in/company/CREST/consolidated/,2026-08-23T18:06:55.829859+00:00
CRISIL.NS,737,consolidated,2026-06-30,48.8274,49.0,48.4299,48.4,44.0199,45.4,10.0,14.0,10.0,7.0,12.0,8.0,10.68408550413913,16.472216023276687,10.094594519415631,0.1024151635585447,24.5,30.0,https://www.screener.in/company/CRISIL/consolidated/,2026-08-23T18:06:55.829859+00:00
CRIZAC.NS,1285526,consolidated,2026-03-31,24.7367,22.25,24.7367,22.25,24.7367,22.25,30.0,60.0,,25.0,,,-51.84940216689009,-73.91470359189458,,0.0034188034188034,40.3,28.0,https://www.screener.in/company/CRIZAC/consolidated/,2026-08-23T18:06:55.829859+00:00
CROMPTON.NS,1273354,consolidated,2026-03-31,43.7045,41.6,41.8935,40.3,40.782,39.7,6.0,-11.0,,-10.0,-11.0,4.0,,,,0.0670711156049882,10.6,10.0,https://www.screener.in/company/CROMPTON/consolidated/,2026-08-23T18:06:55.829859+00:00
